,Time (S),MaxCarsPassing (N),MinCarsPassing (N),TotalGreenlights (N),TotalTraffic (N)
0,10/29/20 7:43,8,5,3,20
1,10/29/20 7:43,9,2,3,17
2,10/29/20 7:43,16,3,3,24
3,10/29/20 7:43,17,13,3,45
4,10/29/20 7:43,8,2,3,13
5,10/29/20 7:43,16,2,3,28
6,10/29/20 7:43,15,3,3,24
7,10/29/20 7:43,20,6,3,36
8,10/29/20 7:43,13,2,3,20
9,10/29/20 7:43,20,12,3,50
10,10/30/20 7:43,19,3,3,38
11,10/30/20 7:43,9,3,3,17
12,10/30/20 7:43,20,4,3,40
13,10/30/20 7:43,20,7,3,38
14,10/30/20 7:43,7,2,3,15
15,10/30/20 7:43,17,14,3,46
16,10/30/20 7:43,13,4,3,29
17,10/30/20 7:43,5,3,3,12
18,10/30/20 7:43,18,3,3,27
19,10/30/20 7:43,20,4,3,42
20,10/31/20 7:43,12,2,3,21
21,10/31/20 7:43,19,12,3,44
22,10/31/20 7:43,20,6,3,32
23,10/31/20 7:43,11,1,3,17
24,10/31/20 7:43,13,10,3,36
25,10/31/20 7:43,20,7,3,39
26,10/31/20 7:43,17,1,3,22
27,10/31/20 7:43,9,6,3,21
28,10/31/20 7:43,13,7,3,33
29,10/31/20 7:43,13,10,3,34
30,11/1/20 7:43,19,4,3,36
31,11/1/20 7:43,17,6,3,38
32,11/1/20 7:43,20,17,3,55
33,11/1/20 7:43,16,12,3,42
34,11/1/20 7:43,16,14,3,45
35,11/1/20 7:43,19,7,3,34
36,11/1/20 7:43,20,1,3,39
37,11/1/20 7:43,20,4,3,43
38,11/1/20 7:43,20,1,3,37
39,11/1/20 7:43,18,14,3,49
40,11/2/20 7:43,20,16,3,55
41,11/2/20 7:43,19,7,3,36
42,11/2/20 7:43,18,10,3,43
43,11/2/20 7:43,19,5,3,40
44,11/2/20 7:43,17,2,3,22
45,11/2/20 7:43,19,13,3,51
46,11/2/20 7:43,9,3,3,17
47,11/2/20 7:43,20,11,3,45
48,11/2/20 7:43,12,1,3,24
49,11/2/20 7:43,5,1,3,8
50,11/3/20 7:43,19,14,3,51
51,11/3/20 7:43,15,10,3,39
52,11/3/20 7:43,8,3,3,15
53,11/3/20 7:43,17,11,3,40
54,11/3/20 7:43,14,11,3,36
55,11/3/20 7:43,20,3,3,34
56,11/3/20 7:43,20,3,3,31
57,11/3/20 7:43,15,3,3,22
58,11/3/20 7:43,16,4,3,34
59,11/3/20 7:43,17,1,3,25
60,11/4/20 7:43,19,3,3,29
61,11/4/20 7:43,20,9,3,39
62,11/4/20 7:43,20,17,3,55
63,11/4/20 7:43,14,3,3,29
64,11/4/20 7:43,16,1,3,27
65,11/4/20 7:43,18,1,6,66
66,11/4/20 7:43,20,1,9,109
67,11/4/20 7:43,20,1,12,140
68,11/4/20 7:43,20,1,15,160
69,11/4/20 7:43,20,1,18,192
70,11/5/20 7:43,20,1,21,222
71,11/5/20 7:43,20,1,24,253
72,11/5/20 7:43,20,1,27,298
73,11/5/20 7:43,20,7,3,46
74,11/5/20 7:43,20,1,6,72
75,11/5/20 7:43,20,1,9,106
76,11/5/20 7:43,20,1,12,138
77,11/5/20 7:43,20,1,15,165
78,11/5/20 7:43,20,1,18,196
79,11/5/20 7:43,20,1,21,237
80,11/6/20 7:43,20,1,24,263
81,11/6/20 7:43,20,1,27,290
82,11/6/20 7:43,20,1,30,336
83,11/6/20 7:43,20,1,33,370
84,11/6/20 7:43,20,1,36,396
85,11/6/20 7:43,20,1,39,430
86,11/6/20 7:43,20,1,42,460
87,11/6/20 7:43,20,1,45,499
88,11/6/20 7:43,20,1,48,529
89,11/6/20 7:43,20,1,51,560
90,11/7/20 7:43,20,1,54,595
91,11/7/20 7:43,20,1,57,634
92,11/7/20 7:43,20,1,60,660
93,11/7/20 7:43,19,14,3,49
94,11/7/20 7:43,12,3,3,23
95,11/7/20 7:43,13,4,3,29
96,11/7/20 7:43,20,2,3,31
97,11/7/20 7:43,19,7,3,39
98,11/7/20 7:43,20,2,3,27